id,verb_id,tense_id,pronoun,finite
1,1,1,eu,sou
2,1,1,tu,és
3,1,1,ele/ela,é
4,1,1,nós,somos
5,1,1,vós,sois
6,1,1,eles/elas,são
7,1,2,eu,era
8,1,2,tu,eras
9,1,2,ele/ela,era
10,1,2,nós,éramos
11,1,2,vós,éreis
12,1,2,eles/elas,eram
13,1,3,eu,fui
14,1,3,tu,foste
15,1,3,ele/ela,foi
16,1,3,nós,fomos
17,1,3,vós,fostes
18,1,3,eles/elas,foram
19,1,4,eu,fora
20,1,4,tu,foras
21,1,4,ele/ela,fora
22,1,4,nós,fôramos
23,1,4,vós,fôreis
24,1,4,eles/elas,foram
25,1,5,eu,serei
26,1,5,tu,serás
27,1,5,ele/ela,será
28,1,5,nós,seremos
29,1,5,vós,sereis
30,1,5,eles/elas,serão
31,1,6,eu,seria
32,1,6,tu,serias
33,1,6,ele/ela,seria
34,1,6,nós,seríamos
35,1,6,vós,seríeis
36,1,6,eles/elas,seriam
37,1,7,eu,seja
38,1,7,tu,sejas
39,1,7,ele/ela,seja
40,1,7,nós,sejamos
41,1,7,vós,sejais
42,1,7,eles/elas,sejam
43,1,8,eu,fosse
44,1,8,tu,fosses
45,1,8,ele/ela,fosse
46,1,8,nós,fôssemos
47,1,8,vós,fôsseis
48,1,8,eles/elas,fossem
49,1,9,eu,for
50,1,9,tu,fores
51,1,9,ele/ela,for
52,1,9,nós,formos
53,1,9,vós,fordes
54,1,9,eles/elas,forem
55,1,10,tu,sê
56,1,10,ele/ela,seja
57,1,10,nós,sejamos
58,1,10,vós,sede
59,1,10,eles/elas,sejam
60,1,11,tu,sejas
61,1,11,ele/ela,seja
62,1,11,nós,sejamos
63,1,11,vós,sejais
64,1,11,eles/elas,sejam
65,1,12,eu,ser
66,1,12,tu,seres
67,1,12,ele/ela,ser
68,1,12,nós,sermos
69,1,12,vós,serdes
70,1,12,eles/elas,serem
71,1,13,null,sendo
72,1,14,null,sido
73,2,1,eu,estou
74,2,1,tu,estás
75,2,1,ele/ela,está
76,2,1,nós,estamos
77,2,1,vós,estais
78,2,1,eles/elas,estão
79,2,2,eu,estava
80,2,2,tu,estavas
81,2,2,ele/ela,estava
82,2,2,nós,estávamos
83,2,2,vós,estáveis
84,2,2,eles/elas,estavam
85,2,3,eu,estive
86,2,3,tu,estiveste
87,2,3,ele/ela,esteve
88,2,3,nós,estivemos
89,2,3,vós,estivestes
90,2,3,eles/elas,estiveram
91,2,4,eu,estivera
92,2,4,tu,estiveras
93,2,4,ele/ela,estivera
94,2,4,nós,estivéramos
95,2,4,vós,estivéreis
96,2,4,eles/elas,estiveram
97,2,5,eu,estarei
98,2,5,tu,estarás
99,2,5,ele/ela,estará
100,2,5,nós,estaremos
101,2,5,vós,estareis
102,2,5,eles/elas,estarão
103,2,6,eu,estaria
104,2,6,tu,estarias
105,2,6,ele/ela,estaria
106,2,6,nós,estaríamos
107,2,6,vós,estaríeis
108,2,6,eles/elas,estariam
109,2,7,eu,esteja
110,2,7,tu,estejas
111,2,7,ele/ela,esteja
112,2,7,nós,estejamos
113,2,7,vós,estejais
114,2,7,eles/elas,estejam
115,2,8,eu,estivesse
116,2,8,tu,estivesses
117,2,8,ele/ela,estivesse
118,2,8,nós,estivéssemos
119,2,8,vós,estivésseis
120,2,8,eles/elas,estivessem
121,2,9,eu,estiver
122,2,9,tu,estiveres
123,2,9,ele/ela,estiver
124,2,9,nós,estivermos
125,2,9,vós,estiverdes
126,2,9,eles/elas,estiverem
127,2,10,tu,está
128,2,10,ele/ela,esteja
129,2,10,nós,estejamos
130,2,10,vós,estai
131,2,10,eles/elas,estejam
132,2,11,tu,estejas
133,2,11,ele/ela,esteja
134,2,11,nós,estejamos
135,2,11,vós,estejais
136,2,11,eles/elas,estejam
137,2,12,eu,estar
138,2,12,tu,estares
139,2,12,ele/ela,estar
140,2,12,nós,estarmos
141,2,12,vós,estardes
142,2,12,eles/elas,estarem
143,2,13,null,estando
144,2,14,null,estado
145,3,1,eu,tenho
146,3,1,tu,tens
147,3,1,ele/ela,tem
148,3,1,nós,temos
149,3,1,vós,tendes
150,3,1,eles/elas,têm
151,3,2,eu,tinha
152,3,2,tu,tinhas
153,3,2,ele/ela,tinha
154,3,2,nós,tínhamos
155,3,2,vós,tínheis
156,3,2,eles/elas,tinham
157,3,3,eu,tive
158,3,3,tu,tiveste
159,3,3,ele/ela,teve
160,3,3,nós,tivemos
161,3,3,vós,tivestes
162,3,3,eles/elas,tiveram
163,3,4,eu,tivera
164,3,4,tu,tiveras
165,3,4,ele/ela,tivera
166,3,4,nós,tivéramos
167,3,4,vós,tivéreis
168,3,4,eles/elas,tiveram
169,3,5,eu,terei
170,3,5,tu,terás
171,3,5,ele/ela,terá
172,3,5,nós,teremos
173,3,5,vós,tereis
174,3,5,eles/elas,terão
175,3,6,eu,teria
176,3,6,tu,terias
177,3,6,ele/ela,teria
178,3,6,nós,teríamos
179,3,6,vós,teríeis
180,3,6,eles/elas,teriam
181,3,7,eu,tenha
182,3,7,tu,tenhas
183,3,7,ele/ela,tenha
184,3,7,nós,tenhamos
185,3,7,vós,tenhais
186,3,7,eles/elas,tenham
187,3,8,eu,tivesse
188,3,8,tu,tivesses
189,3,8,ele/ela,tivesse
190,3,8,nós,tivéssemos
191,3,8,vós,tivésseis
192,3,8,eles/elas,tivessem
193,3,9,eu,tiver
194,3,9,tu,tiveres
195,3,9,ele/ela,tiver
196,3,9,nós,tivermos
197,3,9,vós,tiverdes
198,3,9,eles/elas,tiverem
199,3,10,tu,tem
200,3,10,ele/ela,tenha
201,3,10,nós,tenhamos
202,3,10,vós,tende
203,3,10,eles/elas,tenham
204,3,11,tu,tenhas
205,3,11,ele/ela,tenha
206,3,11,nós,tenhamos
207,3,11,vós,tenhais
208,3,11,eles/elas,tenham
209,3,12,eu,ter
210,3,12,tu,teres
211,3,12,ele/ela,ter
212,3,12,nós,termos
213,3,12,vós,terdes
214,3,12,eles/elas,terem
215,3,13,null,tendo
216,3,14,null,tido
217,4,1,eu,vou
218,4,1,tu,vais
219,4,1,ele/ela,vai
220,4,1,nós,vamos
221,4,1,vós,ides
222,4,1,eles/elas,vão
223,4,2,eu,ia
224,4,2,tu,ias
225,4,2,ele/ela,ia
226,4,2,nós,íamos
227,4,2,vós,íeis
228,4,2,eles/elas,iam
229,4,3,eu,fui
230,4,3,tu,foste
231,4,3,ele/ela,foi
232,4,3,nós,fomos
233,4,3,vós,fostes
234,4,3,eles/elas,foram
235,4,4,eu,fora
236,4,4,tu,foras
237,4,4,ele/ela,fora
238,4,4,nós,fôramos
239,4,4,vós,fôreis
240,4,4,eles/elas,foram
241,4,5,eu,irei
242,4,5,tu,irás
243,4,5,ele/ela,irá
244,4,5,nós,iremos
245,4,5,vós,ireis
246,4,5,eles/elas,irão
247,4,6,eu,iria
248,4,6,tu,irias
249,4,6,ele/ela,iria
250,4,6,nós,iríamos
251,4,6,vós,iríeis
252,4,6,eles/elas,iriam
253,4,7,eu,vá
254,4,7,tu,vás
255,4,7,ele/ela,vá
256,4,7,nós,vamos
257,4,7,vós,vades
258,4,7,eles/elas,vão
259,4,8,eu,fosse
260,4,8,tu,fosses
261,4,8,ele/ela,fosse
262,4,8,nós,fôssemos
263,4,8,vós,fôsseis
264,4,8,eles/elas,fossem
265,4,9,eu,for
266,4,9,tu,fores
267,4,9,ele/ela,for
268,4,9,nós,formos
269,4,9,vós,fordes
270,4,9,eles/elas,forem
271,4,10,tu,vai
272,4,10,ele/ela,vá
273,4,10,nós,vamos
274,4,10,vós,ide
275,4,10,eles/elas,vão
276,4,11,tu,vás
277,4,11,ele/ela,vá
278,4,11,nós,vamos
279,4,11,vós,vades
280,4,11,eles/elas,vão
281,4,12,eu,ir
282,4,12,tu,ires
283,4,12,ele/ela,ir
284,4,12,nós,irmos
285,4,12,vós,irdes
286,4,12,eles/elas,irem
287,4,13,null,indo
288,4,14,null,ido
289,5,1,eu,venho
290,5,1,tu,vens
291,5,1,ele/ela,vem
292,5,1,nós,vimos
293,5,1,vós,vindes
294,5,1,eles/elas,vêm
295,5,2,eu,vinha
296,5,2,tu,vinhas
297,5,2,ele/ela,vinha
298,5,2,nós,vínhamos
299,5,2,vós,vínheis
300,5,2,eles/elas,vinham
301,5,3,eu,vim
302,5,3,tu,vieste
303,5,3,ele/ela,veio
304,5,3,nós,viemos
305,5,3,vós,viestes
306,5,3,eles/elas,vieram
307,5,4,eu,viera
308,5,4,tu,vieras
309,5,4,ele/ela,viera
310,5,4,nós,viéramos
311,5,4,vós,viéreis
312,5,4,eles/elas,vieram
313,5,5,eu,virei
314,5,5,tu,virás
315,5,5,ele/ela,virá
316,5,5,nós,viremos
317,5,5,vós,vireis
318,5,5,eles/elas,virão
319,5,6,eu,viria
320,5,6,tu,virias
321,5,6,ele/ela,viria
322,5,6,nós,viríamos
323,5,6,vós,viríeis
324,5,6,eles/elas,viriam
325,5,7,eu,venha
326,5,7,tu,venhas
327,5,7,ele/ela,venha
328,5,7,nós,venhamos
329,5,7,vós,venhais
330,5,7,eles/elas,venham
331,5,8,eu,viesse
332,5,8,tu,viesses
333,5,8,ele/ela,viesse
334,5,8,nós,viéssemos
335,5,8,vós,viésseis
336,5,8,eles/elas,viessem
337,5,9,eu,vier
338,5,9,tu,vieres
339,5,9,ele/ela,vier
340,5,9,nós,viermos
341,5,9,vós,vierdes
342,5,9,eles/elas,vierem
343,5,10,tu,vem
344,5,10,ele/ela,venha
345,5,10,nós,venhamos
346,5,10,vós,vinde
347,5,10,eles/elas,venham
348,5,11,tu,venhas
349,5,11,ele/ela,venha
350,5,11,nós,venhamos
351,5,11,vós,venhais
352,5,11,eles/elas,venham
353,5,12,eu,vir
354,5,12,tu,vires
355,5,12,ele/ela,vir
356,5,12,nós,virmos
357,5,12,vós,virdes
358,5,12,eles/elas,virem
359,5,13,null,vindo
360,5,14,null,vindo
361,6,1,eu,faço
362,6,1,tu,fazes
363,6,1,ele/ela,faz
364,6,1,nós,fazemos
365,6,1,vós,fazeis
366,6,1,eles/elas,fazem
367,6,2,eu,fazia
368,6,2,tu,fazias
369,6,2,ele/ela,fazia
370,6,2,nós,fazíamos
371,6,2,vós,fazíeis
372,6,2,eles/elas,faziam
373,6,3,eu,fiz
374,6,3,tu,fizeste
375,6,3,ele/ela,fez
376,6,3,nós,fizemos
377,6,3,vós,fizestes
378,6,3,eles/elas,fizeram
379,6,4,eu,fizera
380,6,4,tu,fizeras
381,6,4,ele/ela,fizera
382,6,4,nós,fizéramos
383,6,4,vós,fizéreis
384,6,4,eles/elas,fizeram
385,6,5,eu,farei
386,6,5,tu,farás
387,6,5,ele/ela,fará
388,6,5,nós,faremos
389,6,5,vós,fareis
390,6,5,eles/elas,farão
391,6,6,eu,faria
392,6,6,tu,farias
393,6,6,ele/ela,faria
394,6,6,nós,faríamos
395,6,6,vós,faríeis
396,6,6,eles/elas,fariam
397,6,7,eu,faça
398,6,7,tu,faças
399,6,7,ele/ela,faça
400,6,7,nós,façamos
401,6,7,vós,façais
402,6,7,eles/elas,façam
403,6,8,eu,fizesse
404,6,8,tu,fizesses
405,6,8,ele/ela,fizesse
406,6,8,nós,fizéssemos
407,6,8,vós,fizésseis
408,6,8,eles/elas,fizessem
409,6,9,eu,fizer
410,6,9,tu,fizeres
411,6,9,ele/ela,fizer
412,6,9,nós,fizermos
413,6,9,vós,fizerdes
414,6,9,eles/elas,fizerem
415,6,10,tu,faz
416,6,10,ele/ela,faça
417,6,10,nós,façamos
418,6,10,vós,fazei
419,6,10,eles/elas,façam
420,6,11,tu,faças
421,6,11,ele/ela,faça
422,6,11,nós,façamos
423,6,11,vós,façais
424,6,11,eles/elas,façam
425,6,12,eu,fazer
426,6,12,tu,fazeres
427,6,12,ele/ela,fazer
428,6,12,nós,fazermos
429,6,12,vós,fazerdes
430,6,12,eles/elas,fazerem
431,6,13,null,fazendo
432,6,14,null,feito
433,7,1,eu,quero
434,7,1,tu,queres
435,7,1,ele/ela,quer
436,7,1,nós,queremos
437,7,1,vós,quereis
438,7,1,eles/elas,querem
439,7,2,eu,queria
440,7,2,tu,querias
441,7,2,ele/ela,queria
442,7,2,nós,queríamos
443,7,2,vós,queríeis
