id,language_id,infinitive,example,regular,rank
1,1,ser,"Eu sou uma pessao honesta.",0, 1
2,1,estar,"O livro está em cima da mesa.",0, 2
3,1,ter,"Eu tenho muitos amigos na California.",0, 3
4,1,ir,"Você vai à praia agora?",0, 4
5,1,vir,"Eu venho da Europa.",0, 5
6,1,fazer,"Ele faz um bom trabalho.",0, 6
7,1,querer,"Eu quero comprar esse chocolate.",0, 7
8,1,poder,"Ele pode me ajudar.",0, 8
9,1,conseguir,"Eu consigo andar de bicicleta.",0, 9
10,1,saber,"Eu sei que ela está lá, na casa dele.",0, 10
11,1,conhecer,"Você conhece João?",1, 11
12,1,sair,"Você quer sair comigo?",0, 12
13,1,dizer,"Minha mãe me diz sempre para ter cuidado.",0, 13
14,1,ouvir,"Ele ouve muito rock.",0, 14
15,1,sentir,"Eu sinto muito.",0, 15
16,1,pedir,"Minha irmã sempre me pede dinheiro emprestado.",0, 16
17,1,perder,"Eu sempre perco esse ônibus.",0, 17
18,1,manter,"Eu mantenho meu quarto sempre limpo.",0, 18
19,1,ler,"Ela lê a bíblia.",0, 19
20,1,cair,"O vaso caiu no chão.",0, 20
21,1,pôr,"Ela põe todas as suas moedas no cofrinho.",0, 21
22,1,ver,"Eu vejo dois pássaros no céu.",0, 22
23,1,haver,"Para todo problema há uma solução.",0, 23
24,1,dar,"Ela dá aula de alemão.",0, 24
25,1,ficar,"Onde fica o restaurante?",1, 25
26,1,dever,"Já devem ser umas 18:00.",1, 26
27,1,passar,"Passo por essa rua todos os dias a caminho da escola.",1, 27
28,1,chegar,"Você chega logo.",0, 28
29,1,falar,"Você fala Português?",1, 29
30,1,deixar,"Mãe, você deixa eu jogar vídeo game?",1, 30
31,1,encontrar,"Eu sempre encontro muitas pessoas caminhando na praia.",1, 31
32,1,levar,"Ele leva os filhos à escola.",1, 32
33,1,começar,"Eu começo o trabalho em março.",1, 33
34,1,partir,"Parto também com o grupo.",1, 34
